round,client_0_acc,client_0_loss,client_1_acc,client_1_loss,client_2_acc,client_2_loss,client_3_acc,client_3_loss,client_4_acc,client_4_loss,mean_acc,mean_loss,test_acc,test_loss
0,0.149,2.2810353146323674,0.2564,1.9705077171325684,0.2744,1.906038190637316,0.29296,1.848293053860567,0.2812,1.8711809010445317,0.250792,1.9754110354614702,0.172,2.20043160341963
1,0.1953,2.2085951702504216,0.3238,1.7649337232112885,0.37896,1.6437787936658275,0.36328,1.66175590850869,0.3559,1.680674027793015,0.32344800000000007,1.7919475246858485,0.3695,1.8136400225796276
2,0.2424,2.1595515223998056,0.4098,1.5701949506998063,0.44096,1.4973548687234217,0.448,1.4823123666704918,0.4351,1.514795158482805,0.39525200000000005,1.644841773395266,0.4173,1.5293966758100292
3,0.2676,2.135883248305019,0.469,1.4173373386263848,0.49912,1.3697186623300825,0.49528,1.375151435939633,0.4836,1.403134736833693,0.44292,1.5402450844069624,0.5142,1.3960352638099767
4,0.2803,2.115626469443116,0.522,1.320651012659073,0.53792,1.2725019199507577,0.53032,1.2838447963704869,0.5355,1.2908986595612537,0.48120799999999997,1.4567045715969376,0.5679,1.2616555192802525
5,0.2966,2.1052763190450547,0.5622,1.2276857912540435,0.56936,1.1901149074642026,0.56608,1.2020093713487898,0.5553,1.229594755776321,0.509908,1.3909362289776825,0.6141,1.1885829922519153
6,0.3037,2.100979943818684,0.5728,1.1883838027715683,0.58472,1.1408670131041079,0.58656,1.1430126319126206,0.5812,1.1610540566565115,0.5257959999999999,1.3468594896526984,0.5909,1.1737803726256648
7,0.3256,2.0747823519042776,0.5972,1.148287670314312,0.60512,1.095131044485131,0.6052,1.1001005239632664,0.6004,1.116809316828281,0.546704,1.3070221814990535,0.6272,1.107293655600729
8,0.3292,2.0714848448958576,0.5944,1.138326819241047,0.62936,1.0428406182600527,0.61928,1.0712461818237693,0.6201,1.0784708849991425,0.5584680000000001,1.280473869843974,0.6523,1.0409296524675586
9,0.3382,2.055844605723514,0.6344,1.0365267157554627,0.63752,1.0134771691293132,0.63616,1.0248441507621688,0.6343,1.025384956522833,0.576116,1.2312155195786585,0.6387,1.0587500658216356
10,0.3517,2.044091159784341,0.6398,1.0328176021575928,0.6488,0.9795229258585949,0.64376,0.9935402882342436,0.6528,0.9898871432376813,0.587372,1.207971823854491,0.6809,0.9607673053500019
11,0.3477,2.047094243991224,0.6386,1.0109525531530381,0.66,0.9583162835666111,0.65728,0.965636711947772,0.6525,0.9679705244076403,0.591216,1.189994063413257,0.6875,0.9794623482076428
12,0.3634,2.0222277731835088,0.668,0.9230105459690094,0.68104,0.9135461613839987,0.6652,0.9481340324392125,0.6623,0.9525450528422489,0.607988,1.1518927131635956,0.681,0.9647098832492587
13,0.3529,2.0481610977196993,0.66,0.9268362939357757,0.68392,0.900509238243103,0.68016,0.9143843985333735,0.6741,0.9254029868524286,0.6102160000000001,1.143058803056876,0.69,0.9647656332088422
14,0.3657,2.029336437394347,0.691,0.8714085802435875,0.69424,0.8730723517281669,0.68584,0.8891373161150484,0.684,0.8968699340578876,0.6241559999999999,1.1119649239078075,0.7103,0.8810524118097522
15,0.3654,2.0379542776300936,0.6854,0.9238888323307037,0.70256,0.8455566745631549,0.69488,0.8648996663336851,0.6977,0.8743206066421315,0.6291879999999999,1.1093240114999536,0.7124,0.8947885368443742
16,0.3674,2.0270205766339844,0.6924,0.8863451823592186,0.7136,0.8104055973948264,0.69616,0.8526237394128527,0.6991,0.8612176428867292,0.633732,1.0875225477375223,0.7036,0.8889359288577792
17,0.378,2.009457385992702,0.7196,0.8058751821517944,0.71376,0.8076805581851881,0.70984,0.8282322269313189,0.7056,0.8355491681943966,0.6453599999999999,1.05735890429108,0.7254,0.8358438014984131
18,0.3852,2.0097056431106375,0.704,0.8550898358225822,0.72144,0.7936841559653379,0.71376,0.8036666238794521,0.7188,0.79604368270198,0.64864,1.0516379882959979,0.7277,0.8338755195653891
19,0.3723,2.0276071904580806,0.7204,0.7855832383036614,0.72952,0.7737571627509837,0.7244,0.7868767897693478,0.7289,0.7883448427236532,0.6551039999999999,1.0324338448011452,0.7359,0.8287329560593714
20,0.3758,2.022601344917394,0.7344,0.7881256222724915,0.73936,0.7339355173159618,0.73344,0.7592664713762245,0.7305,0.77213193796858,0.6627000000000001,1.0152121787701303,0.723,0.8320296814170065
21,0.3925,1.994068141225018,0.722,0.7861837700009346,0.74552,0.7358201103551048,0.74352,0.7444103804169869,0.7424,0.747451325760612,0.6691879999999999,1.0015867455517313,0.7426,0.7991224731071086
22,0.3853,1.9998505809639073,0.745,0.7185119777917862,0.75176,0.7143338553759516,0.74344,0.7298900624927209,0.7445,0.7370032351228255,0.674,0.9799179423494383,0.7289,0.8395036858848378
