round,client_0_acc,client_0_loss,client_1_acc,client_1_loss,client_2_acc,client_2_loss,client_3_acc,client_3_loss,client_4_acc,client_4_loss,mean_acc,mean_loss,test_acc,test_loss
0,0.1631,2.2597815326497526,0.2534,1.9735842585563659,0.30608,1.8147647684934187,0.29128,1.8638399656938047,0.2638,1.9377050580857675,0.255532,1.9699351166958217,0.1,
1,0.1915,2.199675318561023,0.3144,1.8168126612901687,0.38896,1.6171080774190474,0.38448,1.6340656621115548,0.3468,1.7054420603981502,0.32522799999999996,1.7946207559559888,0.1419,
2,0.2204,2.1687543784515766,0.3528,1.718615049123764,0.45624,1.4866927047165073,0.42576,1.5346314907073975,0.4002,1.6011534431312657,0.37107999999999997,1.7019694132261023,0.2296,
3,0.2519,2.129741056055962,0.4242,1.538094025850296,0.50896,1.3562470990784314,0.47104,1.4449261110656115,0.4251,1.53797546368611,0.41624,1.601396751147282,0.2923,
4,0.2821,2.100484740884998,0.4798,1.430223971605301,0.54656,1.258144524632668,0.48712,1.383374356493658,0.4879,1.4139246774625174,0.456696,1.5172304542158286,0.4754,
5,0.3156,2.066755608667301,0.5366,1.2722382098436356,0.57736,1.17998582976205,0.52184,1.2988623660437915,0.5189,1.310493359837351,0.49406,1.425667074830826,0.5586,
6,0.3134,2.0664374571812303,0.569,1.195813238620758,0.59808,1.121756348074699,0.56288,1.2055240668812577,0.5672,1.2028451071509831,0.522112,1.3584752435817857,0.6104,
7,0.3386,2.0367839985255953,0.5986,1.121323636174202,0.6164,1.0740919198308672,0.59192,1.1357444561257655,0.5837,1.1582974580269825,0.545844,1.3052482937366825,0.6213,
8,0.3424,2.025819346874575,0.6034,1.108394618332386,0.62576,1.0394453716521361,0.61424,1.0805296545126,0.6024,1.1021368307403372,0.5576399999999999,1.2712651644224071,0.6114,
9,0.3478,2.0233264301396625,0.6194,1.1030792757868766,0.64688,0.9901557406600641,0.62768,1.0443281817192933,0.6198,1.0691065026234976,0.572312,1.2459992261858788,0.6537,
10,0.3622,2.0096127232418786,0.636,1.0633685529232024,0.6576,0.9691760327134814,0.64752,1.0080385755519479,0.6302,1.0352050496053091,0.5867039999999999,1.217080186807164,0.6503,
11,0.3717,1.9959130785133266,0.6436,0.9978883862495422,0.67128,0.9265911810252131,0.64872,0.9814277200066314,0.6456,1.003231224379962,0.5961799999999999,1.1810103180349352,0.6792,
12,0.3708,1.9851605937450747,0.6648,0.9809765830636025,0.68008,0.9086272394170567,0.66232,0.9505882476057325,0.6618,0.9665435997745658,0.6079600000000001,1.1583792527212062,0.666,
13,0.3785,1.980137067505076,0.6588,0.9625229313969612,0.69024,0.8827675216051997,0.67424,0.9186553815189673,0.6653,0.9503398733802989,0.613416,1.1388845550813007,0.6591,
14,0.3844,1.9607287660429749,0.6838,0.8857169732451439,0.70392,0.8408843315377528,0.682,0.9056532741809378,0.6683,0.937414240987995,0.624484,1.1060795171989608,0.707,
15,0.3882,1.9611874426467508,0.6984,0.8607257798314094,0.70872,0.8253101694340609,0.69232,0.8863519241615218,0.684,0.9014611146118068,0.634328,1.0870072861371098,0.6853,
16,0.3951,1.9432583775701402,0.6946,0.8746966943144798,0.71992,0.8053252624005688,0.69888,0.8640967455445504,0.6901,0.8975584242917314,0.6397200000000001,1.0769871008242942,0.6733,
17,0.3961,1.9442277015010012,0.7056,0.836761873960495,0.72352,0.7805496715769475,0.698,0.8574232513807258,0.6891,0.8852855163284495,0.642464,1.0608496029495238,0.6891,
18,0.4071,1.9326327661924725,0.7244,0.8079814687371254,0.73904,0.7440750586743258,0.7016,0.8445144575469348,0.7,0.8628746572929092,0.654428,1.0384156816887535,0.6855,
19,0.4057,1.9304048849057547,0.7342,0.7685620412230492,0.746,0.7280769913780446,0.7124,0.8142123982614401,0.714,0.8328001710432994,0.66246,1.0148112973623176,0.7264,
20,0.4044,1.9048534495921075,0.7418,0.743373928964138,0.74856,0.7220238410696691,0.71208,0.806578411131489,0.7131,0.8211997324907327,0.663988,0.9996058726496273,0.7271,
21,0.4084,1.91937777664088,0.7362,0.7305811405181885,0.75152,0.6955269234521049,0.7244,0.7846210830065669,0.7153,0.8160704495031622,0.667164,0.9892354746241805,0.7365,
22,0.4159,1.8984604983390132,0.7514,0.7111056610941887,0.7612,0.6878054257558317,0.72544,0.7766779308416405,0.7263,0.8012857142883011,0.676048,0.975067046063795,0.6972,
23,0.4198,1.893253851540481,0.7614,0.6819918192923069,0.772,0.6558647566303915,0.7304,0.7673090155027351,0.7277,0.7818471917623206,0.6822600000000001,0.956053326945647,0.732,
24,0.4313,1.8852659071548075,0.7738,0.6500279188156128,0.774,0.6527176359478308,0.7312,0.7664006455820433,0.7343,0.7548692697965647,0.6889200000000001,0.9418562754593719,0.7371,
25,0.4304,1.8707074334349814,0.7628,0.6821476325392724,0.77824,0.6342282216159665,0.74008,0.7495470503155066,0.7418,0.7502827108660831,0.6906640000000001,0.937382609754362,0.7397,
26,0.4307,1.8599548113496998,0.7622,0.6761783078312874,0.786,0.6142187595975642,0.74296,0.7386765352317265,0.7421,0.7516606691517408,0.6927920000000001,0.9281378166324037,0.7342,
27,0.4405,1.8414814849443073,0.7804,0.6260418698191643,0.79408,0.5985709066901889,0.74488,0.7419112306468341,0.7454,0.7252888973755173,0.701052,0.9066588778952024,0.76,
28,0.437,1.833426166184341,0.796,0.5875107102096081,0.8016,0.5738630948626265,0.7488,0.722511354757815,0.7517,0.7287885848479935,0.7070200000000001,0.8892199821724768,0.7482,
29,0.4421,1.821434761904463,0.7852,0.6004024028778077,0.80152,0.5670458625773994,0.74992,0.7235741001002642,0.7443,0.7319221794605255,0.704608,0.888875861384092,0.7455,
30,0.443,1.8239276907112025,0.8122,0.5561396569013596,0.80832,0.5487480251764765,0.75048,0.7093119457059976,0.7583,0.715465801426127,0.7144600000000001,0.8707186239842327,0.75,
31,0.4561,1.8165233995341048,0.7928,0.6115344785153866,0.81816,0.5316700013924618,0.75288,0.7135485456306108,0.7567,0.7218107339702075,0.715328,0.8790174318085542,0.7523,
32,0.4536,1.794659214683726,0.7766,0.6376347977668047,0.81728,0.52053829328138,0.76144,0.6941062570834646,0.7515,0.7156938948208773,0.712084,0.8725264915272504,0.7589,
